term_id,en_term,ko_term,category,definition,source_en,source_ko,aliases,notes,status
combat_unit,Combat Unit,전투 유닛,unit,방어력이 0보다 큰 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.1,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.1,,,confirmed
non_combat_unit,Non-Combat Unit,비전투 유닛,unit,방어력이 0인 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.1,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.1,,,confirmed
marker,Marker,마커,marker,상태나 규칙 효과를 표시하는 카운터,Stal42_RULES-2025-Final_LoRes.pdf §2.3.1,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.1,,,confirmed
infantry,Infantry,보병,unit,비기계화 보병 병과 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
security,Security,경비,unit,비기계화 경비 병과 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
jager_infantry,Jäger Infantry,경보병,unit,비기계화 경보병 병과 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
naval_infantry,Naval Infantry,해병대,unit,비기계화 해병 병과 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
mountain_infantry,Mountain Infantry,산악보병,unit,비기계화 산악보병 병과 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
engineer,Engineer,공병,unit,비기계화 공병 병과 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
cavalry,Cavalry,기병,unit,비기계화 기병 병과 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
ski,Ski,스키,unit,비기계화 스키 병과 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
tank_unit,Tank/Panzer,기갑,unit,기갑 쉬프트를 얻거나 상쇄할 수 있는 유닛 유형,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,Tank Unit,,confirmed
mechanized_unit,Mechanized,기계화,unit,기계화 이동 비용을 적용받는 유닛 유형,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
non_mechanized_unit,Non-Mechanized,비기계화,unit,비기계화 이동 비용을 적용받는 유닛 유형,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
motorized_infantry,Motorized Infantry,차량화 보병,unit,기계화 병과의 차량화 보병,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
tank_destroyer,Tank Destroyer,대전차,unit,기계화 병과의 대전차 유닛,Stal42_RULES-2025-Final_LoRes.pdf §2.3.3,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.3,,,confirmed
artillery_support_unit,Artillery Support Unit,포병 지원 유닛,unit,사정거리 안의 전투에 지원을 제공하는 비전투 유닛,Stal42_RULES-2025-Final_LoRes.pdf §18.2,Stal42_RULES-2025-Final_LoRes_KO.pdf §18.2,ASU,,confirmed
army_hq,Army HQ,군 HQ,unit,특수한 스택 또는 포병 지원 기능을 가진 사령부 유닛,Stal42_RULES-2025-Final_LoRes.pdf §4.3; 18.2,Stal42_RULES-2025-Final_LoRes_KO.pdf §4.3; 18.2,,TODO_GLOSSARY_REVIEW; docs/glossary_notes.md 참조,ambiguous
leader_unit,Leader Unit,지휘관 유닛,unit,사정 범위 안에서 특수 능력을 사용하는 비전투 유닛,Stal42_RULES-2025-Final_LoRes.pdf §28.1,Stal42_RULES-2025-Final_LoRes_KO.pdf §28.1,,,confirmed
attack_strength,Attack Strength,공격력,unit_attribute,공격 시 사용하는 유닛의 전투력,Stal42_RULES-2025-Final_LoRes.pdf §2.3.2,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.2,,,confirmed
defense_strength,Defense Strength,방어력,unit_attribute,방어 시 사용하는 유닛의 전투력,Stal42_RULES-2025-Final_LoRes.pdf §2.3.2,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.2,,,confirmed
movement_allowance,Movement Allowance,이동력,unit_attribute,전투 가능성을 유지하며 사용할 수 있는 최대 이동 포인트,Stal42_RULES-2025-Final_LoRes.pdf §2.3.2,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.2,MA,,confirmed
movement_point,Movement Point,이동 포인트,movement,이동 비용과 이동력을 세는 단위,Stal42_RULES-2025-Final_LoRes.pdf §2.3.2,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.2,MP; MPs,,confirmed
unit_id,Unit I.D.,유닛의 이름 또는 번호,unit_attribute,카운터가 나타내는 부대의 이름 또는 번호,Stal42_RULES-2025-Final_LoRes.pdf §2.3.2,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.2,,,confirmed
troop_quality,Troop Quality,부대의 질,unit_attribute,필사적인 방어와 집결 굴림 등에 쓰는 등급,Stal42_RULES-2025-Final_LoRes.pdf §2.3.2,Stal42_RULES-2025-Final_LoRes_KO.pdf §2.3.2,TQ,,confirmed
