hex_id,direction,neighbor_id,review_status,crossing_features,source_ref
1001,s,1002,unreviewed,,
1001,ne,1101,unreviewed,,
1001,se,1102,unreviewed,,
1002,s,1003,unreviewed,,
1002,ne,1102,unreviewed,,
1002,se,1103,unreviewed,,
1003,s,1004,unreviewed,,
1003,ne,1103,unreviewed,,
1003,se,1104,unreviewed,,
1004,s,1005,unreviewed,,
1004,ne,1104,unreviewed,,
1004,se,1105,unreviewed,,
1005,s,1006,unreviewed,,
1005,ne,1105,unreviewed,,
1005,se,1106,unreviewed,,
1006,s,1007,unreviewed,,
1006,ne,1106,unreviewed,,
1006,se,1107,unreviewed,,
1007,s,1008,unreviewed,,
1007,ne,1107,unreviewed,,
1007,se,1108,unreviewed,,
1008,s,1009,unreviewed,,
1008,ne,1108,unreviewed,,
1008,se,1109,unreviewed,,
1009,s,1010,unreviewed,,
1009,ne,1109,unreviewed,,
1009,se,1110,unreviewed,,
1010,s,1011,unreviewed,,
1010,ne,1110,unreviewed,,
1010,se,1111,unreviewed,,
1011,s,1012,unreviewed,,
1011,ne,1111,unreviewed,,
1011,se,1112,unreviewed,,
1012,s,1013,unreviewed,,
1012,ne,1112,unreviewed,,
1012,se,1113,unreviewed,,
1013,ne,1113,unreviewed,,
1101,s,1102,unreviewed,,
1101,ne,1200,unreviewed,,
1101,se,1201,unreviewed,,
1102,s,1103,unreviewed,,
1102,ne,1201,unreviewed,,
1102,se,1202,unreviewed,,
1103,s,1104,unreviewed,,
1103,ne,1202,unreviewed,,
1103,se,1203,unreviewed,,
1104,s,1105,unreviewed,,
1104,ne,1203,unreviewed,,
1104,se,1204,unreviewed,,
1105,s,1106,unreviewed,,
1105,ne,1204,unreviewed,,
1105,se,1205,unreviewed,,
1106,s,1107,unreviewed,,
1106,ne,1205,unreviewed,,
1106,se,1206,unreviewed,,
1107,s,1108,unreviewed,,
1107,ne,1206,unreviewed,,
1107,se,1207,unreviewed,,
1108,s,1109,unreviewed,,
1108,ne,1207,unreviewed,,
1108,se,1208,unreviewed,,
1109,s,1110,unreviewed,,
1109,ne,1208,unreviewed,,
1109,se,1209,unreviewed,,
1110,s,1111,unreviewed,,
1110,ne,1209,unreviewed,,
1110,se,1210,unreviewed,,
1111,s,1112,unreviewed,,
1111,ne,1210,unreviewed,,
1111,se,1211,unreviewed,,
1112,s,1113,unreviewed,,
