hex_id,direction,neighbor_id,review_status,crossing_features,blue_pixels_29x29,pink_pixels_29x29,dark_pixels_29x29,signals
1001,s,1002,unreviewed,,239,40,0,river_candidate;road_candidate
1001,ne,1101,unreviewed,,0,0,0,
1001,se,1102,unreviewed,,183,32,0,river_candidate;road_candidate
1002,s,1003,unreviewed,,20,151,44,road_candidate;rail_or_primary_candidate
1002,ne,1102,unreviewed,,0,3,53,rail_or_primary_candidate
1002,se,1103,unreviewed,,0,0,2,
1003,s,1004,unreviewed,,0,149,59,road_candidate;rail_or_primary_candidate
1003,ne,1103,unreviewed,,0,166,59,road_candidate;rail_or_primary_candidate
1003,se,1104,unreviewed,,0,167,35,road_candidate;rail_or_primary_candidate
1004,s,1005,unreviewed,,0,1,13,rail_or_primary_candidate
1004,ne,1104,unreviewed,,0,1,217,rail_or_primary_candidate
1004,se,1105,unreviewed,,0,0,0,
1005,s,1006,unreviewed,,0,9,41,road_candidate;rail_or_primary_candidate
1005,ne,1105,unreviewed,,0,0,0,
1005,se,1106,unreviewed,,0,2,15,rail_or_primary_candidate
1006,s,1007,unreviewed,,0,0,55,rail_or_primary_candidate
1006,ne,1106,unreviewed,,0,0,0,
1006,se,1107,unreviewed,,0,0,0,
1007,s,1008,unreviewed,,0,0,60,rail_or_primary_candidate
1007,ne,1107,unreviewed,,0,7,0,road_candidate
1007,se,1108,unreviewed,,0,35,98,road_candidate;rail_or_primary_candidate
1008,s,1009,unreviewed,,0,0,0,
1008,ne,1108,unreviewed,,0,3,0,
1008,se,1109,unreviewed,,0,0,40,rail_or_primary_candidate
1009,s,1010,unreviewed,,0,0,0,
1009,ne,1109,unreviewed,,0,0,0,
1009,se,1110,unreviewed,,0,3,0,
1010,s,1011,unreviewed,,0,12,0,road_candidate
1010,ne,1110,unreviewed,,0,2,0,
1010,se,1111,unreviewed,,0,2,26,rail_or_primary_candidate
1011,s,1012,unreviewed,,0,0,0,
1011,ne,1111,unreviewed,,0,35,0,road_candidate
1011,se,1112,unreviewed,,0,3,0,
1012,s,1013,unreviewed,,0,0,0,
1012,ne,1112,unreviewed,,0,1,0,
1012,se,1113,unreviewed,,0,0,0,
1013,ne,1113,unreviewed,,0,2,62,rail_or_primary_candidate
1101,s,1102,unreviewed,,0,2,45,rail_or_primary_candidate
1101,ne,1200,unreviewed,,0,0,0,
1101,se,1201,unreviewed,,0,1,92,rail_or_primary_candidate
1102,s,1103,unreviewed,,0,0,0,
1102,ne,1201,unreviewed,,0,0,0,
1102,se,1202,unreviewed,,0,0,0,
1103,s,1104,unreviewed,,255,27,0,river_candidate;road_candidate
1103,ne,1202,unreviewed,,0,6,47,road_candidate;rail_or_primary_candidate
1103,se,1203,unreviewed,,0,0,0,
1104,s,1105,unreviewed,,0,0,0,
1104,ne,1203,unreviewed,,240,63,0,river_candidate;road_candidate
1104,se,1204,unreviewed,,0,0,45,rail_or_primary_candidate
1105,s,1106,unreviewed,,0,0,0,
1105,ne,1204,unreviewed,,0,0,0,
1105,se,1205,unreviewed,,0,0,0,
1106,s,1107,unreviewed,,0,0,0,
1106,ne,1205,unreviewed,,0,4,85,rail_or_primary_candidate
1106,se,1206,unreviewed,,0,1,9,
1107,s,1108,unreviewed,,0,0,0,
1107,ne,1206,unreviewed,,0,26,0,road_candidate
1107,se,1207,unreviewed,,0,1,0,
1108,s,1109,unreviewed,,0,0,0,
1108,ne,1207,unreviewed,,0,1,0,
1108,se,1208,unreviewed,,0,27,0,road_candidate
1109,s,1110,unreviewed,,0,2,54,rail_or_primary_candidate
1109,ne,1208,unreviewed,,0,0,0,
1109,se,1209,unreviewed,,0,0,0,
1110,s,1111,unreviewed,,0,0,0,
1110,ne,1209,unreviewed,,0,0,0,
1110,se,1210,unreviewed,,0,0,54,rail_or_primary_candidate
1111,s,1112,unreviewed,,0,0,0,
1111,ne,1210,unreviewed,,0,0,121,rail_or_primary_candidate
1111,se,1211,unreviewed,,0,106,5,road_candidate
1112,s,1113,unreviewed,,0,1,97,rail_or_primary_candidate
