hex_id,terrain,source_ref,other_features,victory_points
3203,clear,Stal42_Map_west-FINAL-150 Q12.jpg crop x2130-2850 y380-990,none,0
3204,clear,Stal42_Map_west-FINAL-150 Q12.jpg crop x2130-2850 y380-990,none,0
3303,clear,Stal42_Map_west-FINAL-150 Q12.jpg crop x2130-2850 y380-990,none,0
3304,clear,Stal42_Map_west-FINAL-150 Q12.jpg crop x2130-2850 y380-990,none,0
3403,clear,Stal42_Map_west-FINAL-150 Q12.jpg crop x2130-2850 y380-990,none,0
3404,clear,Stal42_Map_west-FINAL-150 Q12.jpg crop x2130-2850 y380-990,none,0
3503,clear,Stal42_Map_west-FINAL-150 Q12.jpg crop x2130-2850 y380-990,none,0
3504,clear,Stal42_Map_west-FINAL-150 Q12.jpg crop x2130-2850 y380-990,none,0
3603,clear,Stal42_Map_west-FINAL-150 Q12.jpg crop x2130-2850 y380-990,none,0
3604,clear,Stal42_Map_west-FINAL-150 Q12.jpg crop x2130-2850 y380-990,none,0
