hex_id,direction,neighbor_id,blue_pixels_29x29,review_status,source_image
1833,s,1834,841,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3834,s,3835,760,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2734,se,2834,718,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2823,s,2824,707,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2223,ne,2323,681,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3935,s,3936,662,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3728,s,3729,660,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2723,s,2724,659,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2324,ne,2423,658,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2402,se,2503,635,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3526,s,3527,634,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2623,s,2624,631,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3326,s,3327,627,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3515,s,3516,624,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2221,s,2222,617,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3225,s,3226,617,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3627,s,3628,615,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3716,s,3717,601,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2910,s,2911,600,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3010,s,3011,600,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2122,se,2222,592,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3314,s,3315,591,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3213,s,3214,590,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
4035,s,4036,589,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3233,s,3234,585,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3414,s,3415,584,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
4136,s,4137,584,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3024,s,3025,578,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2505,s,2506,574,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3816,s,3817,568,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
1923,ne,2022,557,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2924,s,2925,556,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2405,ne,2505,549,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3615,s,3616,549,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2222,se,2323,545,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3034,ne,3134,535,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2122,s,2123,529,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2423,se,2524,528,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2807,s,2808,527,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2404,ne,2504,524,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3432,s,3433,524,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2607,s,2608,523,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2911,ne,3010,523,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3535,ne,3634,522,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3634,s,3635,522,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2423,s,2424,520,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3114,s,3115,513,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3916,s,3917,512,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2404,se,2505,509,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2523,s,2524,507,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2925,ne,3024,507,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2708,se,2808,502,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3731,s,3732,501,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3426,s,3427,497,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
1832,s,1833,496,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3830,s,3831,495,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3126,s,3127,491,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3033,se,3134,490,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
4130,s,4131,489,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
1922,s,1923,481,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2623,se,2724,470,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3631,s,3632,469,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2608,ne,2708,468,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2504,s,2505,466,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3730,s,3731,466,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
1722,ne,1821,457,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2808,se,2909,446,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2022,se,2123,441,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3532,s,3533,440,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
4016,s,4017,439,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
1821,s,1822,438,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2323,s,2324,437,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2507,se,2607,437,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3226,ne,3326,424,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2506,ne,2605,421,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
4030,s,4031,419,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2403,se,2504,418,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2506,se,2606,418,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
4116,s,4117,418,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2222,ne,2322,417,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3904,s,3905,412,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3334,ne,3433,409,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3729,s,3730,393,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2708,s,2709,392,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3334,s,3335,383,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
1204,ne,1304,382,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3605,s,3606,379,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2507,ne,2606,377,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
1822,ne,1922,375,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3734,s,3735,375,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2503,ne,2602,371,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
4032,s,4033,371,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2808,ne,2908,367,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3440,s,3441,366,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2810,ne,2910,359,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2809,se,2910,358,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
3522,s,3523,354,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
1412,se,1513,349,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
1929,se,2029,348,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
2824,ne,2924,348,unreviewed,Stal42_Map_west-FINAL-150 Q12.jpg
