hex_id,direction,neighbor_id,review_status,crossing_features,blue_pixels_29x29,pink_pixels_29x29,dark_pixels_29x29,color_pixels_51x51,border_signal_pixels,route_crossing_score,signals
1013,s,1014,zone_unconfirmed,,0,3,67,206,77,11,rail_or_primary_candidate;route_crossing_candidate
1013,se,1114,zone_unconfirmed,,0,2,26,100,1,7,rail_or_primary_candidate;route_crossing_candidate
1014,s,1015,zone_unconfirmed,,250,0,119,1028,223,21,river_candidate;rail_or_primary_candidate;route_crossing_candidate
1014,ne,1114,zone_unconfirmed,,0,3,193,420,87,10,rail_or_primary_candidate;route_crossing_candidate
1014,se,1115,zone_unconfirmed,,330,33,0,646,228,5,river_candidate;road_candidate;route_crossing_candidate
1015,s,1016,zone_unconfirmed,,174,40,47,924,118,10,river_candidate;road_candidate;rail_or_primary_candidate;route_crossing_candidate
1015,ne,1115,zone_unconfirmed,,277,45,19,1331,163,20,river_candidate;road_candidate;rail_or_primary_candidate;route_crossing_candidate
1015,se,1116,zone_unconfirmed,,267,4,105,1149,133,23,river_candidate;rail_or_primary_candidate;route_crossing_candidate
1016,ne,1116,zone_unconfirmed,,0,0,0,43,57,3,
1016,se,1117,zone_unconfirmed,,0,1,40,95,69,2,rail_or_primary_candidate
1113,s,1114,zone_unconfirmed,,0,3,0,12,8,4,route_crossing_candidate
1114,s,1115,zone_unconfirmed,,195,35,0,646,87,13,river_candidate;road_candidate;route_crossing_candidate
1114,ne,1213,zone_unconfirmed,,0,8,0,27,15,3,road_candidate
1114,se,1214,zone_unconfirmed,,217,42,0,558,132,1,river_candidate;road_candidate
1115,s,1116,zone_unconfirmed,,0,2,110,497,66,14,rail_or_primary_candidate;route_crossing_candidate
1115,ne,1214,zone_unconfirmed,,0,29,0,80,47,8,road_candidate;route_crossing_candidate
1115,se,1215,zone_unconfirmed,,0,2,376,787,64,14,rail_or_primary_candidate;route_crossing_candidate
1116,s,1117,zone_unconfirmed,,0,0,57,99,6,15,rail_or_primary_candidate;route_crossing_candidate
1116,ne,1215,zone_unconfirmed,,0,11,14,54,27,11,road_candidate;rail_or_primary_candidate;route_crossing_candidate
1116,se,1216,zone_unconfirmed,,0,1,86,199,13,24,rail_or_primary_candidate;route_crossing_candidate
1117,ne,1216,zone_unconfirmed,,0,0,0,25,48,2,
1117,se,1217,zone_unconfirmed,,221,28,33,672,169,13,river_candidate;road_candidate;rail_or_primary_candidate;route_crossing_candidate
1213,s,1214,zone_unconfirmed,,0,29,0,39,34,4,road_candidate;route_crossing_candidate
1213,se,1314,zone_unconfirmed,,0,10,0,17,3,0,road_candidate
1214,s,1215,zone_unconfirmed,,0,0,0,158,0,0,
1214,ne,1314,zone_unconfirmed,,0,13,0,51,8,5,road_candidate;route_crossing_candidate
1214,se,1315,zone_unconfirmed,,0,3,0,54,1,6,route_crossing_candidate
1215,s,1216,zone_unconfirmed,,0,0,0,66,0,0,
1215,ne,1315,zone_unconfirmed,,0,9,0,35,2,8,road_candidate;route_crossing_candidate
1215,se,1316,zone_unconfirmed,,0,0,0,17,2,6,route_crossing_candidate
1216,s,1217,zone_unconfirmed,,256,21,0,537,156,5,river_candidate;road_candidate;route_crossing_candidate
1216,ne,1316,zone_unconfirmed,,0,0,170,332,60,5,rail_or_primary_candidate;route_crossing_candidate
1216,se,1317,zone_unconfirmed,,220,85,53,1096,155,7,river_candidate;road_candidate;rail_or_primary_candidate;route_crossing_candidate
1217,ne,1317,zone_unconfirmed,,0,14,0,32,39,3,road_candidate
1217,se,1318,zone_unconfirmed,,0,12,0,17,4,1,road_candidate
1313,s,1314,zone_unconfirmed,,0,0,4,28,36,17,route_crossing_candidate
1314,s,1315,zone_unconfirmed,,0,10,1,41,37,11,road_candidate;route_crossing_candidate
1314,ne,1413,zone_unconfirmed,,242,52,0,555,176,9,river_candidate;road_candidate;route_crossing_candidate
1314,se,1414,zone_unconfirmed,,294,49,0,592,146,3,river_candidate;road_candidate
1315,s,1316,zone_unconfirmed,,0,3,2,49,37,15,route_crossing_candidate
1315,ne,1414,zone_unconfirmed,,310,27,0,570,153,5,river_candidate;road_candidate;route_crossing_candidate
1315,se,1415,zone_unconfirmed,,236,66,0,586,158,7,river_candidate;road_candidate;route_crossing_candidate
1316,s,1317,zone_unconfirmed,,265,49,0,602,180,6,river_candidate;road_candidate;route_crossing_candidate
1316,ne,1415,zone_unconfirmed,,289,58,0,648,157,0,river_candidate;road_candidate
1316,se,1416,zone_unconfirmed,,268,22,0,656,201,11,river_candidate;road_candidate;route_crossing_candidate
1317,s,1318,zone_unconfirmed,,0,2,0,52,6,7,route_crossing_candidate
1317,ne,1416,zone_unconfirmed,,0,0,0,18,40,3,
1317,se,1417,zone_unconfirmed,,0,0,42,115,17,9,rail_or_primary_candidate;route_crossing_candidate
1318,s,1319,zone_unconfirmed,,0,0,0,20,5,0,
1318,ne,1417,zone_unconfirmed,,0,0,0,51,3,0,
1318,se,1418,zone_unconfirmed,,0,17,0,37,1,0,road_candidate
