hex_id,center_x,center_y,review_status
1014,123,1791,unconfirmed_zone_center
1015,123,1905,unconfirmed_zone_center
1016,123,2019,unconfirmed_zone_center
1114,222,1734,unconfirmed_zone_center
1115,222,1848,unconfirmed_zone_center
1116,222,1962,unconfirmed_zone_center
1117,222,2076,unconfirmed_zone_center
1214,321,1791,unconfirmed_zone_center
1215,321,1905,unconfirmed_zone_center
1216,321,2019,unconfirmed_zone_center
1217,321,2133,unconfirmed_zone_center
1314,420,1734,unconfirmed_zone_center
1315,420,1848,unconfirmed_zone_center
1316,420,1962,unconfirmed_zone_center
1317,420,2076,unconfirmed_zone_center
1318,420,2190,unconfirmed_zone_center
1319,420,2304,unconfirmed_zone_center
1320,420,2418,unconfirmed_zone_center
1414,519,1791,unconfirmed_zone_center
1416,519,2019,unconfirmed_zone_center
1417,519,2133,unconfirmed_zone_center
1418,519,2247,unconfirmed_zone_center
1419,519,2361,unconfirmed_zone_center
1420,519,2475,unconfirmed_zone_center
1422,519,2703,unconfirmed_zone_center
1514,618,1734,unconfirmed_zone_center
1516,618,1962,unconfirmed_zone_center
1519,618,2304,unconfirmed_zone_center
1520,618,2418,unconfirmed_zone_center
1521,618,2532,unconfirmed_zone_center
1522,618,2646,unconfirmed_zone_center
1614,717,1791,unconfirmed_zone_center
1615,717,1905,unconfirmed_zone_center
1616,717,2019,unconfirmed_zone_center
1617,717,2133,unconfirmed_zone_center
1618,717,2247,unconfirmed_zone_center
1619,717,2361,unconfirmed_zone_center
1622,717,2703,unconfirmed_zone_center
1623,717,2817,unconfirmed_zone_center
1624,717,2931,unconfirmed_zone_center
1625,717,3045,unconfirmed_zone_center
1626,717,3159,unconfirmed_zone_center
1627,717,3273,unconfirmed_zone_center
1628,717,3387,unconfirmed_zone_center
1718,816,2190,unconfirmed_zone_center
1720,816,2418,unconfirmed_zone_center
1723,816,2760,unconfirmed_zone_center
1724,816,2874,unconfirmed_zone_center
1725,816,2988,unconfirmed_zone_center
1726,816,3102,unconfirmed_zone_center
1727,816,3216,unconfirmed_zone_center
1728,816,3330,unconfirmed_zone_center
1729,816,3444,unconfirmed_zone_center
1935,1014,4128,unconfirmed_zone_center
2035,1113,4185,unconfirmed_zone_center
2038,1113,4527,unconfirmed_zone_center
2039,1113,4641,unconfirmed_zone_center
2135,1212,4128,unconfirmed_zone_center
2136,1212,4242,unconfirmed_zone_center
2138,1212,4470,unconfirmed_zone_center
2139,1212,4584,unconfirmed_zone_center
2140,1212,4698,unconfirmed_zone_center
2235,1311,4185,unconfirmed_zone_center
2238,1311,4527,unconfirmed_zone_center
2239,1311,4641,unconfirmed_zone_center
2240,1311,4755,unconfirmed_zone_center
2335,1410,4128,unconfirmed_zone_center
2339,1410,4584,unconfirmed_zone_center
2340,1410,4698,unconfirmed_zone_center
2341,1410,4812,unconfirmed_zone_center
2435,1509,4185,unconfirmed_zone_center
2437,1509,4413,unconfirmed_zone_center
2438,1509,4527,unconfirmed_zone_center
2439,1509,4641,unconfirmed_zone_center
2440,1509,4755,unconfirmed_zone_center
2441,1509,4869,unconfirmed_zone_center
2535,1608,4128,unconfirmed_zone_center
2537,1608,4356,unconfirmed_zone_center
2538,1608,4470,unconfirmed_zone_center
2539,1608,4584,unconfirmed_zone_center
2540,1608,4698,unconfirmed_zone_center
2541,1608,4812,unconfirmed_zone_center
2542,1608,4926,unconfirmed_zone_center
2636,1707,4299,unconfirmed_zone_center
2637,1707,4413,unconfirmed_zone_center
2638,1707,4527,unconfirmed_zone_center
2639,1707,4641,unconfirmed_zone_center
2640,1707,4755,unconfirmed_zone_center
2641,1707,4869,unconfirmed_zone_center
2642,1707,4983,unconfirmed_zone_center
2736,1806,4242,unconfirmed_zone_center
2737,1806,4356,unconfirmed_zone_center
2738,1806,4470,unconfirmed_zone_center
2739,1806,4584,unconfirmed_zone_center
2740,1806,4698,unconfirmed_zone_center
2741,1806,4812,unconfirmed_zone_center
2742,1806,4926,unconfirmed_zone_center
2835,1905,4185,unconfirmed_zone_center
2836,1905,4299,unconfirmed_zone_center
2837,1905,4413,unconfirmed_zone_center
2838,1905,4527,unconfirmed_zone_center
2839,1905,4641,unconfirmed_zone_center
2840,1905,4755,unconfirmed_zone_center
2841,1905,4869,unconfirmed_zone_center
2842,1905,4983,unconfirmed_zone_center
2935,2004,4128,unconfirmed_zone_center
2937,2004,4356,unconfirmed_zone_center
2938,2004,4470,unconfirmed_zone_center
2939,2004,4584,unconfirmed_zone_center
2940,2004,4698,unconfirmed_zone_center
2941,2004,4812,unconfirmed_zone_center
2942,2004,4926,unconfirmed_zone_center
3035,2103,4185,unconfirmed_zone_center
3036,2103,4299,unconfirmed_zone_center
3037,2103,4413,unconfirmed_zone_center
3038,2103,4527,unconfirmed_zone_center
3039,2103,4641,unconfirmed_zone_center
3040,2103,4755,unconfirmed_zone_center
3041,2103,4869,unconfirmed_zone_center
3042,2103,4983,unconfirmed_zone_center
3135,2202,4128,unconfirmed_zone_center
3136,2202,4242,unconfirmed_zone_center
3137,2202,4356,unconfirmed_zone_center
3138,2202,4470,unconfirmed_zone_center
3140,2202,4698,unconfirmed_zone_center
3141,2202,4812,unconfirmed_zone_center
3142,2202,4926,unconfirmed_zone_center
3235,2301,4185,unconfirmed_zone_center
3236,2301,4299,unconfirmed_zone_center
3237,2301,4413,unconfirmed_zone_center
3238,2301,4527,unconfirmed_zone_center
3239,2301,4641,unconfirmed_zone_center
3240,2301,4755,unconfirmed_zone_center
3242,2301,4983,unconfirmed_zone_center
