side,card_row,location,order,start_face_upload_id,other_face_upload_id,other_face_factors,review_note
axis,A1,1300,1,1731045816074206260,1731045816074206811,0(1)5,HQ reverse
axis,A1,1500,1,1731045816074250229,1731045816074250862,1-3-3,
axis,A1,1501,1,1731045816074283974,1731045816074284859,4-5-3,
axis,A1,1501,2,1731045816074352989,1731045816074353697,4-5-3,
axis,A1,1501,3,1731045816074244048,1731045816074244989,3-5-3,
axis,A1,1501,4,1731045816072493303,1731045816072497272,,blank reverse image
axis,A2,1202,1,1731045816074297033,1731045816074298052,0(1)5,HQ reverse
axis,A2,1202,2,1731045816074713333,,,no matching reverse image identified
axis,A2,1401,1,1731045816074361851,1731045816074362406,7-6-6,
axis,A2,1401,2,1731045816072467560,1731045816072467900,7-6-6,
axis,A2,1401,3,1731045816074261580,1731045816074262280,4-5-6,
axis,A2,1402,1,1731045816074340731,1731045816074341263,3-5-3,
axis,A2,1402,2,1731045816074345634,1731045816074346286,3-5-3,
axis,A2,1402,3,1731045816074241302,1731045816074242077,3-5-3,
axis,A2,1303,1,1731045816074184293,1731045816074184849,7-6-6,
axis,A2,1303,2,1731045816072489673,,,no matching reverse image identified
axis,A2,1303,3,1731045816074378481,1731045816074379018,5-6-6,
axis,A2,1203,1,1731045816074253586,1731045816074254264,3-5-3,
axis,A3,1003,1,1731045816074231362,1731045816074232100,3-5-3,
axis,A3,1304,1,1731045816074830375,1731045816074831644,1-2-3,
axis,A3,1204,1,1731045816074840151,1731045816074840947,1-2-3,
axis,A3,1205,1,1731045816074833765,1731045816074836176,1-2-3,
axis,A4,1517,1,1731045816074315395,1731045816074316490,0(1)5,HQ reverse
axis,A4,1207,1,1731045816074302995,1731045816074303679,4-5-3,
axis,A4,1209,1,1731045816072484373,1731045816072484798,4-5-3,
axis,A4,1211,1,1731045816074327215,1731045816074328060,4-5-3,
axis,A4,1412,1,1731045816074214450,1731045816074214899,2-5-3,
axis,A4,1412,2,1731045816074255817,1731045816074256416,3-5-3,
axis,A4,1613,1,1731045816072452510,1731045816072452719,3-3-4,
axis,A4,1613,2,1731045816074238619,1731045816074239383,3-5-3,
axis,A4,1714,1,1731045816072464705,1731045816072465226,4-5-3,
axis,A4,1714,2,1731045816074228596,1731045816074229843,3-5-3,
axis,A4,1715,1,1731045816074332629,1731045816074333169,4-5-3,
axis,A4,1715,2,1731045816074193679,1731045816074195849,4-5-3,
axis,A5,1716,1,1731045816074321089,1731045816074321712,4-5-3,
axis,A5,1716,2,1731045816074198411,1731045816074198977,4-5-3,
axis,A5,1717,1,1731045816074311086,1731045816074311664,4-5-3,
axis,A5,1717,2,1731045816074277794,,,no matching other face image identified
axis,A5,1515,1,1731045816074258628,1731045816074259558,7-6-6,
axis,A5,1515,2,1731045816074176483,1731045816074175514,10-8-6,starts on reduced face
axis,A5,1515,3,1731045816074204124,1731045816074203390,6-7-6,starts on reduced face
axis,A5,1415,1,1731045816074178166,,,no matching other face image identified
axis,A5,1415,2,1731046051396215108,1731046051396215298,,blank reverse image
axis,A5,1518,1,1731045816074247332,1731045816074248047,3-5-3,
axis,A6,1824,1,1731045816074150012,1731045816074150531,0(1)5,HQ reverse
axis,A6,1719,1,1731045980981089237,1731045980981090155,1-2-3,
axis,A6,1719,2,1731045980981092072,1731045980981093046,1-2-3,
axis,A6,1721,1,1731045980981101900,1731045980981102633,1-2-3,
axis,A6,1620,1,1731045980981094756,1731045980981095774,1-2-3,
axis,A6,1421,1,1731045816074280714,,,no matching other face image identified
axis,A6,1621,1,1731045816074355169,1731045816074355912,3-3-4,
axis,A6,1722,1,1731045816072456987,1731045816072457199,3-3-4,
axis,A6,1523,1,1731045816074134506,1731045816074136853,3[6]-3-4,superscript attack requires rule review
axis,A6,1823,1,1731045816074313899,,,no matching other face image identified
axis,A6,1923,1,1731045816074186901,1731045816074187465,4-5-3,
axis,A6,2024,1,1731045816074196630,,,no matching other face image identified
axis,A7,2225,1,1731045816074350164,1731045816074350871,4-5-3,
axis,A7,2225,2,1731045816074329835,1731045816074330640,4-5-3,
axis,A7,1926,1,1731045816074169007,1731045816074169829,4-3-6,
axis,A7,2027,1,1731045816074308186,1731045816074308948,4-5-6,
axis,A7,2029,1,1731045816072475526,1731045816072475125,10-8-6,starts on reduced face
axis,A7,2331,1,1731045816072505814,1731045816072506169,0(1)5,HQ reverse
axis,A7,2326,1,1731045816074233582,1731045816074234236,3-5-3,
axis,A7,2327,1,1731045816072463082,1731045816072463387,4-5-3,
axis,A7,2427,1,1731045980981002158,1731045980981003217,2-2-6,
axis,A7,2427,2,1731045980981023072,1731045980981023750,1-2-3,
axis,A7,2427,3,1731045980981031494,1731045980981032218,1-2-3,
axis,A8,2427,1,1731045980981007835,,,no matching other face image identified
axis,A8,2529,1,1731045816074140393,1731045816074141486,4-5-3,
