side,card_row,location,order,printed_label,front_factors
axis,A1,1300,1,2A HQ,S(1)5
axis,A1,1500,1,385(-),3-5-3
axis,A1,1501,1,45,6-7-3
axis,A1,1501,2,95,6-7-3
axis,A1,1501,3,383,5-7-3
axis,A1,1501,4,177+243,2-2-5
axis,A2,1202,1,4PZA HQ,S(1)5
axis,A2,1202,2,Supply,0-0-5
axis,A2,1401,1,9,10-8-6
axis,A2,1401,2,11,10-8-6
axis,A2,1401,3,3,6-7-6
axis,A2,1402,1,82,5-7-3
axis,A2,1402,2,88,5-7-3
axis,A2,1402,3,377,5-7-3
axis,A2,1303,1,24,10-8-6
axis,A2,1303,2,16,6-7-6
axis,A2,1303,3,GD,7-8-6
axis,A2,1203,1,387,5-7-3
axis,A3,1003,1,340,5-7-3
axis,A3,1304,1,6L,2-4-3
axis,A3,1204,1,9L,2-4-3
axis,A3,1205,1,7L,2-4-3
axis,A4,1517,1,6A HQ,S(1)5
axis,A4,1207,1,57,6-7-3
axis,A4,1209,1,168,6-7-3
axis,A4,1211,1,75,6-7-3
axis,A4,1412,1,305,4-7-3
axis,A4,1412,2,389,5-7-3
axis,A4,1613,1,100,5-5-4
axis,A4,1613,2,376,5-7-3
axis,A4,1714,1,113,6-7-3
axis,A4,1714,2,336,5-7-3
axis,A4,1715,1,79,6-7-3
axis,A4,1715,2,294,6-7-3
axis,A5,1716,1,71,6-7-3
axis,A5,1716,2,297,6-7-3
axis,A5,1717,1,62,6-7-3
axis,A5,1717,2,44,4-5-3
axis,A5,1515,1,3,10-8-6
axis,A5,1515,2,23,7-6-6
axis,A5,1515,3,29,4-5-6
axis,A5,1415,1,244+245,2-2-5
axis,A5,1415,2,369,1-2-4
axis,A5,1518,1,384,5-7-3
axis,A6,1824,1,1PZA HQ,S(1)5
axis,A6,1719,1,1,2-5-3
axis,A6,1719,2,20,2-5-3
axis,A6,1721,1,4,2-5-3
axis,A6,1620,1,2,2-5-3
axis,A6,1421,1,454,1-4-2
axis,A6,1621,1,97,5-5-4
