side,card_row,location,printed_labels,note
axis,A1,1300,2A HQ,
axis,A1,1500,385(-),
axis,A1,1501,45;95;383;177+243,
axis,A2,1202,4PZA HQ;Supply,
axis,A2,1401,9;11;3,
axis,A2,1402,82;88;377,
axis,A2,1303,24;16;GD,
axis,A2,1203,387,
axis,A3,1003,340,
axis,A3,1304,6L,
axis,A3,1204,9L,
axis,A3,1205,7L,
axis,A4,1517,6A HQ,
axis,A4,1207,57,
axis,A4,1209,168,
axis,A4,1211,75,
axis,A4,1412,305;389,
axis,A4,1613,100;376,
axis,A4,1714,113;336,
axis,A4,1715,79;294,
axis,A5,1716,71;297,
axis,A5,1717,62;44,
axis,A5,1515,3;23;29,
axis,A5,1415,244+245;369,
axis,A5,1518,384,
axis,A6,1824,1PZA HQ,
axis,A6,1719,1;20,
axis,A6,1721,4,
axis,A6,1620,2,
axis,A6,1421,454,
axis,A6,1621,97,
axis,A6,1722,101,
axis,A6,1523,1,
axis,A6,1823,68,
axis,A6,1923,257,
axis,A6,2024,295,
axis,A7,2225,94;76,
axis,A7,1926,22,
axis,A7,2027,60,
axis,A7,2029,14,
axis,A7,2331,17A HQ,
axis,A7,2326,370,
axis,A7,2327,111,
axis,A7,2427,3 Cel;Prs;Tor,
axis,A8,2427,Barbo,
axis,A8,2529,198;4,
axis,A8,2531,Slov;Wilk,
axis,A8,2533,13;125,
axis,A8,2634,298;73;4,
axis,A8,1936,5,
soviet,S1,1600,15+143;129,
soviet,S1,1800,106,
soviet,S1,1502,121;160;111,
soviet,S1,1403,212;141,
soviet,S1,1305,45;62,
soviet,S1,1802,16;119,
soviet,S2,2002,Bry HQ;284;115+116,
soviet,S2,1604,6;14+170,
soviet,S2,1307,8 NKVD;1,
soviet,S2,1309,227;297,
soviet,S2,1311,301;10,
soviet,S3,1510,4;226+343,
soviet,S3,1512,76+293;124,
soviet,S3,1713,13;169;90,
soviet,S3,1813,15;65;38+175,
soviet,S3,2013,23,
soviet,S4,1611,13,
soviet,S4,1911,SW HQ;24,
soviet,S4,1815,9;3;6,
soviet,S4,1816,162+300;277;1 TD,
soviet,S4,1818,199+278;242+255,
soviet,S4,1819,106+333,
soviet,S5,1819,81+304,
soviet,S5,1821,51+140,
soviet,S5,2022,296+318,
soviet,S5,2017,22,
soviet,S5,2120,5;159;14,
soviet,S5,2023,295;275,
soviet,S5,2224,218+349;102+230;121,
soviet,S6,2425,4;261,
soviet,S6,2426,73+176;74,
soviet,S6,2528,216;353,
soviet,S6,2629,395;383,
soviet,S6,2828,228+347;64,
soviet,S6,2725,South HQ;140,
soviet,S7,2631,31;76,
soviet,S7,2633,339;68,
soviet,S7,2734,30 Irk;16,
soviet,S7,2832,2;63,
soviet,S7,2503,17;2 TD;Vor NKVD,
soviet,S7,3134,Ros NKVD,
soviet,S8,2936,91+302,
soviet,S8,2338,116KK,
soviet,S8,3139,12KK,
soviet,S8,3241,15KK;NCau HQ,
soviet,S8,3434,110+115,
soviet,S8,3806,141+206;174+232;219;309,6th Reserve Army: released turn 2
soviet,S8,3322,335+341,
