unit_id,side,start_image,reverse_image,stripe_pixels,stripe_class,max_steps,start_steps,other_steps,review_status
GE-2AHQ,axis,GE-2AHQ-f.png,GE-2AHQ-r.png,,,1,1,1,hq_ready_used_verified
GE-385Inf-Div,axis,GE-385Inf-Div-f.png,GE-385Inf-Div-r.png,17,wide,2,2,1,provisional_stripe_measurement
GE-45Inf-Div,axis,GE-45Inf-Div-f.png,GE-45Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-95Inf-Div,axis,GE-95Inf-Div-f.png,GE-95Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-383Inf-Div,axis,GE-383Inf-Div-f.png,GE-383Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-177&243Stug-Bn,axis,GE-177&243Stug-Bn-f.png,,,,,,,other_face_pending
GE-4PzAHQ,axis,GE-4PzAHQ-f.png,GE-4PzAHQ-r.png,,,1,1,1,hq_ready_used_verified
GE-SupplyPt-1,axis,GE-SupplyPt-1-f.png,,,,,,,other_face_pending
GE-9Pz-Div,axis,GE-9Pz-Div-f.png,GE-9Pz-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-11Pz-Div,axis,GE-11Pz-Div-f.png,GE-11Pz-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-3Pzg-Div,axis,GE-3Pzg-Div-f.png,GE-3Pzg-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-82Inf-Div,axis,GE-82Inf-Div-f.png,GE-82Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-88Inf-Div,axis,GE-88Inf-Div-f.png,GE-88Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-377Inf-Div,axis,GE-377Inf-Div-f.png,GE-377Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-24Pz-Div,axis,GE-24Pz-Div-f.png,GE-24Pz-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-16Pzg-Div,axis,GE-16Pzg-Div-f.png,,,,,,,other_face_pending
GE-GDPzg-Div,axis,GE-GDPzg-Div-f.png,GE-GDPzg-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-387Inf-Div,axis,GE-387Inf-Div-f.png,GE-387Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-340Inf-Div,axis,GE-340Inf-Div-f.png,GE-340Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
HU-6LInf-Div,axis,HU-6LInf-Div-f.png,HU-6LInf-Div-r.png,17,wide,2,2,1,provisional_stripe_measurement
HU-9LInf-Div,axis,HU-9LInf-Div-f.png,HU-9LInf-Div-r.png,17,wide,2,2,1,provisional_stripe_measurement
HU-7LInf-Div,axis,HU-7LInf-Div-f.png,HU-7LInf-Div-r.png,17,wide,2,2,1,provisional_stripe_measurement
GE-6AHQ,axis,GE-6AHQ-f.png,GE-6AHQ-r.png,,,1,1,1,hq_ready_used_verified
GE-57Inf-Div,axis,GE-57Inf-Div-f.png,GE-57Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-168Inf-Div,axis,GE-168Inf-Div-f.png,GE-168Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-75Inf-Div,axis,GE-75Inf-Div-f.png,GE-75Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-305Inf-Div,axis,GE-305Inf-Div-f.png,GE-305Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-389Inf-Div,axis,GE-389Inf-Div-f.png,GE-389Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-100JgrInf-Div,axis,GE-100JgrInf-Div-f.png,GE-100JgrInf-Div-r.png,17,wide,2,2,1,provisional_stripe_measurement
GE-376Inf-Div,axis,GE-376Inf-Div-f.png,GE-376Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-113Inf-Div,axis,GE-113Inf-Div-f.png,GE-113Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-336Inf-Div,axis,GE-336Inf-Div-f.png,GE-336Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
GE-79Inf-Div,axis,GE-79Inf-Div-f.png,GE-79Inf-Div-r.png,5,thin,3,3,2,provisional_stripe_measurement
